question1,question1_senti,question2,question2_senti,diff_senti,Corelation_API,Corelation_tfidf,is_duplicate
What is the step by step guide to invest in share market in india?,0.9028,What is the step by step guide to invest in share market?,0.902765194,3.4806E-05,0.9732,0.978189647,0
What is the story of Kohinoor (Koh-i-Noor) Diamond?,0.5,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0.753156324,0.253156324,0.7541,0.766073425,0
How can I increase the speed of my internet connection while using a VPN?,0.815,How can Internet speed be increased by hacking through DNS?,0.88427208,0.06927208,0.77,0.4731878,0
Why am I mentally very lonely? How can I solve it?,0.14,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0.5,0.36,0.329,0,0
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",0.5,Which fish would survive in salt water?,0.5,0,0.511,0.246762967,0
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,0.5,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",0.5,0,0.88734,0.487289811,1
Should I buy tiago?,0.5,What keeps childern active and far from phone and video games?,0.840142509,0.340142509,0.45,0,0
How can I be a good geologist?,0.858991057,What should I do to be a great geologist?,0.986177626,0.127186569,0.89,0.802804365,1
When do you use シ instead of し?,0.5,"When do you use ""&"" instead of ""and""?",0.5,0,0.84,1,0
Motorola (company): Can I hack my Charter Motorolla DCX3400?,0.029710503,How do I hack Motorola DCX3400 for free internet?,0.876949353,0.84723885,0.836,0.638313299,0
Method to find separation of slits using fresnel biprism?,0.5,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0.5,0,0.04,0,0
How do I read and find my YouTube comments?,0.5,How can I see all my Youtube comments?,0.730949922,0.230949922,0.9644,0.654103416,1
What can make Physics easy to learn?,0.921135605,How can you make physics easy to learn?,0.915627957,0.005507648,0.980953457,1,1
What was your first sexual experience like?,0.749903428,What was your first sexual experience?,0.734978434,0.014924994,0.981527753,0.933629229,1
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",0.713506682,What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0.713506682,0,0.991766792,0.922427769,0
What would a Trump presidency mean for current international master’s students on an F1 visa?,0.5,How will a Trump presidency affect the students presently in US or planning to study in US?,0.5,0,0.836154311,0.237320055,1
What does manipulation mean?,0.170759921,What does manipulation means?,0.204404272,0.033644351,0.880619292,1,1
Why do girls want to be friends with the guy they reject?,0.231352707,How do guys feel after rejecting a girl?,0.090114156,0.141238551,0.873398787,0.748987104,0
Why are so many Quora users posting questions that are readily answered on Google?,0.898768898,Why do people ask Quora questions which can be answered easily by Google?,0.917811643,0.019042745,0.947004554,0.410678393,1
Which is the best digital marketing institution in banglore?,0.925649141,Which is the best digital marketing institute in Pune?,0.954023688,0.028374547,0.798793587,0.642286048,0
Why do rockets look white?,0.267931188,Why are rockets and boosters painted white?,0.5,0.232068812,0.785647741,0.584122357,1
What's causing someone to be jealous?,0.178793157,What can I do to avoid being jealous of someone?,0.007251085,0.171542072,0.946256169,0.677852214,0
What are the questions should not ask on Quora?,0.748647738,Which question should I ask on Quora?,0.5,0.248647738,0.970907441,1,0
How much is 30 kV in HP?,0.5,Where can I find a conversion chart for CC to horsepower?,0.5,0,0.446810813,0,0
What does it mean that every time I look at the clock the numbers are the same?,0.5,How many times a day do a clock’s hands overlap?,0.691826249,0.191826249,0.811334912,0.369559357,0
What are some tips on making it through the job interview process at Medicines?,0.5,What are some tips on making it through the job interview process at Foundation Medicine?,0.5,0,0.941086084,0.860520066,0
What is web application?,0.5,What is the web application framework?,0.5,0,0.944630563,0.743532061,0
Does society place too much importance on sports?,0.83978375,How do sports contribute to the society?,0.5,0.33978375,0.80923462,0.602061512,0
What is best way to make money online?,0.926222192,What is best way to ask for money online?,0.932696056,0.006473864,0.970426332,0.765394285,0
How should I prepare for CA final law?,0.5,How one should know that he/she completely prepare for CA final exam?,0.5,0,0.70336694,0.624541592,1
What's one thing you would like to do better?,0.751637557,What's one thing you do despite knowing better?,0.5,0.251637557,0.960894709,0.594757886,0
What are some special cares for someone with a nose that gets stuffy during the night?,0.974199368,How can I keep my nose from getting stuffy at night?,0.284053871,0.690145497,0.900896682,0.745065198,1
What Game of Thrones villain would be the most likely to give you mercy?,0.245623057,What Game of Thrones villain would you most like to be at the mercy of?,0.801738959,0.556115902,0.981557683,0.94800196,1
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",0.950124613,How is the average speed of gas molecules determined?,0.5,0.450124613,-0.022822876,0,0
What is the best travel website in spain?,0.947605732,What is the best travel website?,0.950960476,0.003354744,0.933442848,0.721435954,0
Why do some people think Obama will try to take their guns away?,0.5,Has there been a gun control initiative to take away guns people already own?,0.172100558,0.327899442,0.822149176,0.572527146,0
I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,0.920849159,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0.5,0.420849159,0.651921004,0.667187221,0
"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",0.224827972,My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0.105633177,0.119194795,0.905876988,0.229585483,0
How do we prepare for UPSC?,0.5,How do I prepare for civil service?,0.5,0,0.650209479,0.307108083,1
What is the stall speed and AOA of an f-14 with wings fully swept back?,0.773528295,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0.082378595,0.6911497,0.612028713,0.229888121,0
Why do Slavs squat?,0.219915577,Will squats make my legs thicker?,0.5,0.280084423,0.608403511,0.37462656,0
When can I expect my Cognizant confirmation mail?,0.5,When can I expect Cognizant confirmation mail?,0.5,0,0.961214037,1,0
"Can I make 50,000 a month by day trading?",0.5,"Can I make 30,000 a month by day trading?",0.5,0,1,0.7840274,0
Is being a good kid and not being a rebel worth it in the long run?,0.761981013,Is being bored good for a kid?,0.148426596,0.613554417,0.719268526,0.368559874,0
What universities does Rexnord recruit new grads from? What majors are they looking for?,0.5,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0.5,0,0.95116044,0.685799497,0
What is the quickest way to increase Instagram followers?,0.788464666,How can we increase our number of Instagram followers?,0.97334106,0.184876394,0.883819787,0.619293341,0
How did Darth Vader fought Darth Maul in Star Wars Legends?,0.117307919,Does Quora have a character limit for profile descriptions?,0.5,0.382692081,0.242084828,0,0
"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?",0.5,"Who is affected more by a breakup, the boy or the girl?",0.078398576,0.421601424,0.600027373,0,0
What are some examples of products that can be make from crude oil?,0.743421175,What are some of the products made from crude oil?,0.260950071,0.482471104,0.880833674,0.795609272,1
How do I make friends.,0.755053496,How to make friends ?,0.950946611,0.195893115,0.972761175,1,1
Is Career Launcher good for RBI Grade B preparation?,0.5,How is career launcher online program for RBI Grade B?,0.5,0,0.853763762,0.83402364,1
"Will a Blu Ray play on a regular DVD player? If so, how?",0.890264538,How can you play a Blu Ray DVD on a regular DVD player?,0.8303158,0.059948738,0.935129505,0.922331595,1
Nd she is always sad?,0.025267986,Aerodynamically what happens when propellor rotates?,0.5,0.474732014,0.362793463,0,0
What is the best/most memorable thing you've ever eaten and why?,0.852891277,What is the most delicious dish you've ever eaten and why?,0.91202235,0.059131073,0.851171931,0.527362871,1
How GST affects the CAs and tax officers?,0.5,Why can't I do my homework?,0.052371876,0.447628124,0.427121768,0,0
How difficult is it get into RSI?,0.065992909,Do you apply for programs like RSI when you're a rising senior?,0.5,0.434007091,0.745381206,0.459522217,0
Who is israil friend?,0.5,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0.927315603,0.427315603,0.736624374,0.126240876,0
What are some good rap songs to dance to?,0.816189229,What are some of the best rap songs?,0.95115924,0.134970011,0.943213713,0.725627484,0
I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,0.207131157,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,0.238636539,0.031505382,0.888260354,0.595686419,1
What are the best ways to learn French?,0.935894116,How do I learn french genders?,0.5,0.435894116,0.841644464,0.627059932,0
How do I download content from a kickass torrent without registration?,0.828535611,Is Kickass Torrents trustworthy?,0.5,0.328535611,0.509856077,0.5320367,0
